Province, Province_en, Ratio, Density_category
宁夏回族自治区,Ningxia Hui,0.10478685401286021,0
新疆维吾尔自治区,Xinjiang Uygur,0.24515983446139358,1
北京市,Beijing,0.8863659881916116,4
天津市,Tianjin,0.2943592250270972,1
河北省,Hebei,0.26714391022357736,1
山西省,Shanxi,0.22094115435707498,1
内蒙古自治区,Nei Mongol,0.30858220035893663,2
香港特别行政区,Hong Kong,0.10014117463155375,0
澳門特別行政區,Macau,0.5357901270868045,4
辽宁省,Liaoning,0.22613931206940255,1
吉林省,Jilin,0.1607930593326389,0
黑龙江省,Heilongjiang,0.21979489310691708,1
上海市,Shanghai,0.33135007379863535,2
江苏省,Jiangsu,0.27126145039853716,1
浙江省,Zhejiang,0.24326130386123618,1
安徽省,Anhui,0.31877254592275883,2
福建省,Fujian,0.18487165712428563,0
江西省,Jiangxi,0.2132194718790592,1
山东省,Shandong,0.31478924442224104,2
河南省,Henan,0.43090451008023706,3
湖北省,Hubei,0.337029855763488,2
湖南省,Hunan,0.4498893571259261,3
广东省,Guangdong,0.2749550649426814,1
广西壮族自治区,Guangxi Zhuang,0.15625409881874183,0
海南省,Hainan,0.4220565177107833,3
重庆市,Chongqing,0.684890885328003,4
四川省,Sichuan,0.4136178360081479,3
贵州省,Guizhou,0.22809263866820345,1
云南省,Yunnan,0.47423680303701965,3
西藏自治区,Tibet,0.5679779983259596,4
陕西省,Shaanxi,0.4273993408693693,3
甘肃省,Gansu,0.5112757785524661,4
青海省,Qinghai,0.14856063909828485,0
